Candidato,Mes,Texto
Rodrigo Paz,Septiembre,"El senador Rodrigo Paz, candidato presidencial por el Partido Demócrata Cristiano (PDC), afirmó que la Agencia Antidroga de Estados Unidos (DEA, por sus siglas en inglés) nunca se fue de Bolivia y anticipó que, si llega al Gobierno, buscará una cooperación internacional contra el narcotráfico bajo el amparo de las Naciones Unidas. El aspirante, que disputará el balotaje del 19 de octubre, lanzó la propuesta en Santa Cruz, epicentro de la violencia ligada al narcotráfico y de las denuncias sobre la presencia de cabecillas del Primer Comando de la Capital (PCC), organización criminal brasileña que maneja rutas de cocaína desde Bolivia hacia mercados internacionales. La lucha contra delitos como trata de personas, financiamiento ilegal y narcotráfico debe hacerse con todos los organismos internacionales bajo el parámetro de Naciones Unidas.  La DEA nunca se fue, lo que toca ahora es sumar esfuerzos con americanos, brasileños, europeos y asiáticos, expresó Paz en un contacto con periodistas en la Sede de Gobierno. El presidenciable no dio más detalles sobre la presencia de esta agencia norteamericana que fue muchas veces mencionada y cuestionada por el expresidente Evo Morales.  Además, la postura de Paz surge en un contexto de versiones internacionales que vinculan a Bolivia como base de operaciones del PCC.  En contraste, Jorge Tuto Quiroga, su rival en la segunda vuelta, señaló días atrás que la prioridad será gestionar apoyo de la Policía Federal de Brasil para enfrentar a esta organización criminal.  Además, anticipó el retorno de la DEA para mejorar la coordinación internacional en la lucha contra el narcotráfico.  La DEA y la expulsión de 2008El debate revive la historia de la DEA en Bolivia.  En 2008, el entonces presidente Evo Morales expulsó a la agencia estadounidense acusándola de apoyar un supuesto intento de golpe de Estado en medio de las violentas protestas cívicas de ese año.  Sin embargo, documentos filtrados por Wikileaks sugirieron que la decisión también respondió a motivos personales. Según un correo revelado por la organización, Morales consideraba que la DEA lo espiaba en sus visitas privadas.  De hecho, el expresidente enfrenta un proceso judicial por estupro y trata de personas, debido a su presunta relación con una menor de edad."
Rodrigo Paz,Septiembre,"Cuidado que algunas fuerzas políticas que están saliendo y otras que están entrando quieran cambiar las normas de cómo se eligen presidente del Senado y de Diputados, alertó el candidato Rodrigo Paz ante los asambleístas electos de su partido durante un encuentro en Santa Cruz de la Sierra. La apreciación de Paz, candidato a la presidencia por el PDC, activa una alerta ante un posible cambio en la reglamentación de las cámaras que componen la Asamblea Legislativa Plurinacional, El candidato dijo tener información de que no están queriendo reconocer las mayorías que ha establecido el pueblo boliviano y que, como ocurría en el pasado, hay operadores que ya están aplicando chicanerías para desconocer los procedimientos de elección. El binomio ganador de la primera vuelta electoral pidió a sus asambleístas actuar con responsabilidad, unidad y compromiso con el país.  Paz–Lara es el binomio que ustedes nos han dado la oportunidad de representar, pero nunca se olviden de que la prioridad es Bolivia, enfatizó el candidato a la presidencia. Asimismo, destacó que el resultado electoral no es una victoria definitiva, sino una nueva etapa que debe ser encarada con altura.  Como dijo Edman, no hemos ganado nada, solo hemos clasificado a una final.  Tenemos una parte importante del poder legislativo y debemos usarla para construir, no para dividir, añadió. Paz advirtió, además, que la ciudadanía ha dado un mensaje claro en las urnas: A los abusivos, que tengan cuidado, porque Bolivia ha dicho no al abuso, no al pasado, sí a la renovación, Cuidado que algunas fuerzas políticas que están saliendo y otras que están entrando quieran cambiar las normas de cómo se eligen presidente del Senado y de Diputados, alertó el candidato Rodrigo Paz ante los asambleístas electos de su partido durante un encuentro en Santa Cruz de la Sierra. La apreciación de Paz, candidato a la presidencia por el PDC, activa una alerta ante un posible cambio en la reglamentación de las cámaras que componen la Asamblea Legislativa Plurinacional, El candidato dijo tener información de que no están queriendo reconocer las mayorías que ha establecido el pueblo boliviano y que, como ocurría en el pasado, hay operadores que ya están aplicando chicanerías para desconocer los procedimientos de elección. El binomio ganador de la primera vuelta electoral pidió a sus asambleístas actuar con responsabilidad, unidad y compromiso con el país.  Paz–Lara es el binomio que ustedes nos han dado la oportunidad de representar, pero nunca se olviden de que la prioridad es Bolivia, enfatizó el candidato a la presidencia. Asimismo, destacó que el resultado electoral no es una victoria definitiva, sino una nueva etapa que debe ser encarada con altura.  Como dijo Edman, no hemos ganado nada, solo hemos clasificado a una final.  Tenemos una parte importante del poder legislativo y debemos usarla para construir, no para dividir, añadió. Paz advirtió, además, que la ciudadanía ha dado un mensaje claro en las urnas: A los abusivos, que tengan cuidado, porque Bolivia ha dicho no al abuso, no al pasado, sí a la renovación, a la justicia, al Estado de derecho, a la productividad y a reconocernos como hermanos y hermanas. Los candidatos del PDC compartieron los lineamientos básicos de su campaña para la segunda vuelta, que se resumen en Capitalismo para todos, con reconciliación y unidad nacional.a la justicia, al Estado de derecho, a la productividad y a reconocernos como hermanos y hermanas. Los candidatos del PDC compartieron los lineamientos básicos de su campaña para la segunda vuelta, que se resumen en Capitalismo para todos, con reconciliación y unidad nacional."
Rodrigo Paz,Septiembre,"El excapitán de Policía, que se estrenó en política con un rápido ascenso, volvió a sorprender a sus seguidores tras destacar el rol del vicepresidente en la Asamblea Legislativa.  Muchos dicen: el capitán Lara qué va a hacer si es vicepresidente, Rodrigo lo va a mandar a pasearse.  No pues.  ¿Quién es la cabeza? En Bolivia hay cuatro poderes, el Ejecutivo está a la cabeza del Presidente y el Legislativo a la cabeza del Vicepresidente.  Yo voy a ser la cabeza del Poder Legislativo, aseguró. Añadió que desde esa posición tendría la capacidad de bloquear iniciativas de su propio compañero de fórmula.  Yo tengo más poder que Rodrigo todavía, pero poder para hacer el bien.  Si yo no le apruebo, Rodrigo no hace nada.  Yo soy el que va a dar prioridad. Las declaraciones, efectuadas el lunes en el contexto de un acto público, se viralizaron en redes sociales y desataron una ola de comentarios.  No es la primera vez que Lara genera ruido en la campaña: anteriormente amagó con retirar su apoyo a Paz, aunque después se retractó y lo calificó como un gran hombre. La unidadUn día después, Lara apareció ayer en un encuentro con los legisladores electos del PDC en Santa Cruz.  Allí, junto a Paz, llamó a la unidad y al trabajo colectivo: Aquí nadie se queda atrás.  Hemos clasificado a la final, pero todavía no hemos ganado la final.  Somos un binomio de unidad, no para dividir, sino para reconciliar.  Vamos a demostrar que el pueblo puede gobernar con transparencia, sin corrupción y con democracia, arengó a sus seguidores. Por su parte, Paz trató de bajar el tono de la polémica y recordó que el proyecto del PDC se basa en el plan 50-50, que plantea destinar la mitad del presupuesto estatal a educación, salud y seguridad ciudadana.  No somos caudillos, somos un equipo, dijo el presidenciable en el evento con su futura bancada con la que viabilizará sus iniciativas legislativas si, finalmente, es elegido. Luego, en contacto en con los periodistas, Paz defendió públicamente a su compañero de fórmula.  Lo calificó como el capitán general del Parlamento y pidió no hacer escándalos.  No caigan los medios en la guerra sucia.  Démosle certidumbre al país.  Preocúpense por las maniobras que quieren hacer en el Parlamento para que la primera fuerza, que es la nuestra, no tenga la presidencia del Senado, declaró Rodrigo Paz. El candidato también lanzó críticas contra prácticas que, según él, se arrastran desde el gobierno del MAS.  Ahí empiezan las chicanerías y la gente se decepciona de la clase política, porque en vez de cumplir la norma hacen como Evo: yo le meto nomás, total los abogados van a resolver. Desde el Legislativo La diputada arcista Daysi Choque cuestionó que el postulante a la vicepresidencia pretenda atribuirse facultades que no tiene: Los diputados y senadores son independientes, no existen mandamases ahí.  Si creen que van a venir a muchacharlo a los legisladores, están equivocados.  Con esa actitud, Lara muestra que podría repetirse lo que vivimos en esta gestión: un Ejecutivo débil porque el Legislativo no aprueba. Desde Comunidad Ciudadana, el diputado Beto Astorga fue más duro: Edmán Lara no tiene la más mínima idea de cómo funciona la Asamblea.  Piensa que con una sola firma se aprueban las leyes.  Para eso se requiere mayoría absoluta o dos tercios.  Rodrigo Paz parece rehén político de su compañero.  Es un peligro. El próximo 8 de de noviembre el MAS dejará el poder tras 20 de años en los que gobernó sin acuerdos políticos en el Legislativo.  El nuevo ciclo político tendrá, según varios analistas, un escenario crucial en ese poder estatal. Las contradicciones de Lara ocurren en la víspera de la reunión convocada por el Tribunal Supremo Electoral (TSE), en la que los binomios que disputarán el balotaje del 19 de octubre —Rodrigo Paz y Edmán Lara (PDC) frente a Jorge Tuto Quiroga y Juan Pablo Velasco (Libre)— firmarán un acuerdo de no agresión. El pacto busca evitar la guerra sucia, garantizar una campaña limpia y asegurar el respeto a los resultados oficiales de la segunda vuelta.  Tanto Paz como Quiroga han expresado su respaldo al encuentro, en medio de una campaña marcada por acusaciones cruzadas y polémicas declaraciones.  La bancada del PDC se capacita para asumir el control de la Asamblea desde noviembreLos 58 legisladores electos por el Partido Demócrata Cristiano (PDC) —12 senadores y 46 diputados— se reunieron ayer en Santa Cruz de la Sierra con los candidatos de la dupla presidencial de esa fuerza política, Rodrigo Paz y Edmán Lara.  Además del encuentro político, los representantes electos recibieron insumos sobre comunicación política y el ámbito de las responsabilidades que les tocará asumir a partir del 8 de noviembre cuando comience el nuevo periodo constitucional. Al margen de los resultados de las elecciones de segunda vuelta, previstas para el 19 de octubre, el PDC se convirtió en la primera fuerza parlamentaria, aunque sin mayoría absoluta (66 en Diputados y 19 en el Senado que serían el mínimo).  La segunda fuerza es Libre, coalición que promueve a la dupla Tuto Quiroga y JP Velasco. Ante este escenario, Rodrigo Paz afirmó que los principales desafíos que enfrenta el país para poder salir de la actual crisis económica es compartida por varias fuerzas políticas.  Eso sí, transmitió a su bancada que su gobierno será el de las grandes mayorías.  Las líneas medianamente son similares.  La única diferencia es quién tiene comunicación con las grandes mayorías somos nosotros.  La inflación, los dólares, la transformación del Banco Central de Bolivia, el ajuste fiscal que hay que hacer, medianamente no hay mucho secreto.  La diferencia es a nombre de quién lo haces.  Nosotros lo vamos a hacer a nombre de las grandes mayorías, no de unos cuantos poderosos, señaló Paz durante su intervención en el Encuentro Político y Estratégico del PDC en Santa Cruz que se desarrolló ayer."
Rodrigo Paz,Septiembre,"El candidato a la presidencia del Partido Demócrata Cristiano (PDC), Rodrigo Paz, se sumó la tarde de este sábado a la serie de cuestionamientos que surgió en contra del gobierno de Luis Arce por garantizar los combustibles solo hasta el próximo 8 de noviembre, día del cambio de presidente en Bolivia. Sabíamos de la irresponsabilidad e improvisación del Gobierno sobre la falta de combustible.  Por ese motivo, nuestros equipos ya están trabajando en un plan real para Bolivia.  Quiero llevar tranquilidad al pueblo boliviano: el 9 de noviembre no faltará combustible, dijo Paz mediante su cuenta en X. El candidato, que sorprendió en la primera vuelta de las elecciones generales con el mayor apoyo electoral, aseguró que el 9 de noviembre comenzará la recuperación de Bolivia y que ya lo tiene resuelto.  Contamos con las herramientas necesarias.  Bolivia va a estar mejor porque lo merecemos, remarcó. En la misma red social, Gabriel Espinoza, asesor económico de Paz, señaló que la irresponsabilidad de este gobierno puede llevar (al país) a una crisis humanitaria.  No es exagerado y hay que frenarla ahora.  El gobierno de Arce debe comprometerse a entregar un país con un mínimo de sostenibilidad, afirmó Espinoza. El excandidato presidencial Samuel Doria Medina consideró que esta situación es el último regalo al país de parte del Movimiento Al Socialismo (MAS), partido que gobierna Bolivia desde hace casi dos décadas.  Dejarán los tanques de gasolina y diésel en cero el 8 de noviembre, para que los extrañemos.  Sabemos que durante 20 años todas sus decisiones fueron para beneficiarse políticamente o para perjudicar a sus rivales y nunca hicieron nada simple y llanamente por el país.  Por eso es que salen envueltos en vergüenza y no volverán, expresó Doria Media. El diputado Carlos Alarcón también dijo que estos (del Gobierno) no tienen sentido de responsabilidad con el país y que por eso dejan en ruinas el abastecimiento de combustibles dedicándose a negociados en lugar de garantizar suministros estables y anuales. Estas nuevas críticas surgieron después de que, el viernes, el propio ministro de Hidrocarburos, Alejandro Gallardo, garantizara combustibles solo hasta el 8 de noviembre.  Nosotros estamos en el Gobierno hasta el 8 de noviembre, ahí hay la transición y hasta esa fecha nosotros garantizamos las políticas implantadas a la cabeza de nuestro presidente Luis Arce y seguramente, de ahí en adelante, habrá un nuevo presidente que va a tener sus propias estrategias, sus propias políticas y (…) ellos determinarán que acciones tomarán desde esa fecha, dijo Gallardo."
Rodrigo Paz,Septiembre,"El candidato a la presidencia del Partido Demócrata Cristiano (PDC), Rodrigo Paz, respondió al anuncio del equipo económico del presidenciable de la Alianza Libre, Jorge Tuto Quiroga, y afirmó que los candidatos deben ser responsables porque no están facultados para negociar ningún crédito.  Los candidatos debemos ser responsables en momentos tan críticos como el que vive Bolivia.  No estamos facultados para negociar ningún crédito o medida como para anunciarlas.  Mucho menos sin tener el diagnóstico real de nuestra economía, algo que ya hemos iniciado cuando fuimos formalmente invitados para ese fin.  No para negociar impunidad como quisieron instalar algunos irresponsables, escribió Paz en su cuenta en X. En pasados días, el jefe del equipo económico de la Alianza Libre, Ramiro Cavero, dijo en la radio Erbol que se adelantan gestiones con organismos internacionales para garantizar la llegada al país de $us 1. 000 millones durante la primera semana del eventual gobierno de Tuto. Según Cavero, ese dinero será usado para la importación y la normalización del suministro de combustibles durante al menos cuatro meses, mientras se aplican medidas estructurales para resolver la crisis de manera definitiva. Propuesta de PazEl presidenciable del PDC, que sorprendió en la primera vuelta electoral del 17 de agosto al ser el candidato con mayor apoyo, propuso reducir el déficit fiscal del país en $us 2. 500 millones a través de la eliminación $us 1. 300 millones de gastos innecesarios y $us 1. 200 millones de subsidios. Con esta medida se busca reducir el 50% del déficit actual, destacó Paz, quien además aclaró que mantendrá $us 1. 000 millones en apoyo a sectores sociales vulnerables. Rodrigo Paz y Tuto Quiroga se volverán a enfrentar en las urnas el próximo 19 de octubre en una histórica segunda vuelta electoral para definir al próximo mandatario del país."
Rodrigo Paz,Septiembre,"El candidato a la presidencia por el Partido Demócrata Cristiano (PDC), Rodrigo Paz, continúa generando polémica en Chile con su propuesta electoral de realizar una nueva etapa de nacionalización de los autos chutos o indocumentados que ingresaron a Bolivia.  Paz, mediante un nuevo video publicado en redes sociales, la noche del martes, invitó al presidente del Senado de Chile, Manuel José Ossandón, a visitar Bolivia para conversar de su cuestionada propuesta electoral. Presidente del Senado de Chile le invito a que venga a Bolivia, venga a conocer, le invito a que vea nuestra propuesta, que es contra la corrupción, contra aquellos que roban coches, dijo. El candidato que, de manera sorpresiva, obtuvo la mayor preferencia electoral en la primera vuelta de las elecciones en Bolivia, remarcó que más bien su propuesta es transparentar todos los coches que tenemos en Bolivia, identificar de dónde proceden, de qué manera y dónde funcionan. Entonces, venga, le voy a explicar.  Además, le invito un fricasé, venga a comer la gastronomía nacional.  Mientras comemos, le explico y usted así se entera de lo que está pasando en Bolivia.  Y, le pido un favor, no caiga, no sea preso de la guerra sucia.  Aquí en Bolivia hay una guerra sucia por el tema electoral, no caiga usted en eso, sea parte de lo propositivo, agregó Paz en su video dirigido a Ossandón.  En Chile hay temor de que con la nueva legalización de autos indocumentados en Bolivia se incremente el robo de vehículos en ese país porque se considera que la mayoría de los motorizados robados ahí ingresa al Estado Plurinacional.  Hace unos días, Paz insinuó que policías chilenos también podrían estar involucrados en el robo de vehículos.  &quot;¿Qué pasa con sus policías, los carabineros? ¿No serán ellos los ladrones que están robando y poniendo esos productos en Bolivia?&quot;, cuestionó. Ante esa declaración, Ossandón afirmó que es inaceptable esa acusación y pidió al Gobierno chileno enviar una nota diplomática pidiendo explicaciones.  No acepto que un candidato extranjero ensucie, sin ninguna prueba, el nombre de nuestros policías, expresó. El Gobierno chileno también criticó a Paz.  &quot;Establecer alguna forma de legalización es un incentivo para que se sigan cometiendo esos ilícitos, en Chile, fuera de Chile, donde sea, dijo el ministro de Interior de ese país, Álvaro Elizalde."
Rodrigo Paz,Septiembre,"El candidato a presidente por el Partido Demócrata Cristiano (PDC), Rodrigo Paz Pereira, confirmó su asistencia al encuentro convocado por el Tribunal Supremo Electoral (TSE) el próximo miércoles en la ciudad de Santa Cruz.  &quot;Vamos a ir para ver la cara de quienes nos insultan y generan guerra sucia&quot;, declaró Paz Pereira, sin mencionar el nombre de Jorge &quot;Tuto&quot; Quiroga, candidato presidencial por la Alianza Libre. El candidato y actual senador recordó que antes como no era de la competencia nadie le insultaba o agredía, pero ahora que está en la segunda vuelta lo hacen virulentos ataques con respecto a su programa gubernamental. Asimismo, se refirió a la guerra sucia que se realizó en contra de los excandidatos Manfred Reyes Villa y Samuel Doria Medina, en la campaña de la primera vuelta, de las elecciones generales.  &quot;Nosotros no vamos entrar en ello y quiero decir con mucha honra que una tarijeña está manejando la campaña, mi hija Catalina Paz Urquidi.  No tenemos millones ni asesores extranjeros, fueron las redes sociales a la cabeza de una chica con ideas claras de lo que el país requiere y detrás de ella una serie de jóvenes, entre hombres y mujeres, que son la parte fundamental de nuestra campaña&quot;, destacó Paz Pereira que retornó ayer a la ciudad de Tarija.  El candidato participó anoche como invitado en la ceremonia de posesión de la nueva directiva de la Federación de Empresarios Privados que lidera Franz Molina Conzelmann, gerente general de Bodegas y Viñedos &quot;Kuhlmann&quot;."
Rodrigo Paz,Septiembre,"El candidato a la presidencia del Partido Demócrata Cristiano (PDC), Rodrigo Paz, informó que solicitó de manera oficial una reunión con el Banco Interamericano de Desarrollo (BID) para diseñar, en conjunto, un plan de fortalecimiento económico de Bolivia.  Luego de analizar en profundidad la situación económica actual de Bolivia, hemos solicitado formalmente una reunión con la representante del @el_BID en Bolivia, para compartir nuestro diagnóstico, la ruta de trabajo que proponemos y diseñar en conjunto los mecanismos para garantizar la estabilidad y fortalecimiento de nuestra economía, escribió Paz en X la noche del martes. Sin embargo, esta publicación generó una serie de cuestionamientos entre algunos de los usuarios de esa red social porque el mismo candidato criticó, un día antes, que se empiecen a realizar negociaciones anticipadas con organismos internacionales para obtener créditos. El 1 de septiembre, Paz escribió en la misma plataforma digital que los candidatos debemos ser responsables en momentos tan críticos como el que vive Bolivia.  No estamos facultados para negociar ningún crédito o medida como para anunciarlas.  Mucho menos sin tener el diagnóstico real de nuestra economía, algo que ya hemos iniciado cuando fuimos formalmente invitados para ese fin.  No para negociar impunidad como quisieron instalar algunos irresponsables, dijo entonces el presidenciable. El pasado fin de semana, el jefe del equipo económico de la Alianza Libre, Ramiro Cavero, dio a conocer que se adelantaron gestiones con organismos internacionales para garantizar la llegada al país de $us 1. 000 millones durante la primera semana de un eventual gobierno de Jorge Tuto Quiroga. Campaña suciaPaz, mediante otra publicación, también aseguró que, ante la falta de propuestas y un plan de gobernabilidad, recurren a desprestigiar con una campaña sucia y operaciones de prensa. Pero nuestra democracia requiere madurez y propuestas porque al final no se trata de los candidatos, se trata de la gente, de nuestro pueblo que sufre.  Yo me dedicaré a contarles cómo vamos a salir juntos de esto porque vamos a ser mejores, porque lo merecemos, expresó. Paz, de PDC, y Quiroga, de la Alianza Libre, se volverán a enfrentar en las urnas el próximo 19 de octubre en una histórica segunda vuelta electoral para definir al próximo mandatario de Bolivia, que atraviesa por una crisis económica."
Rodrigo Paz,Septiembre,"El aspirante presidencial del Partido Demócrata Cristiano (PDC), Rodrigo Paz, adelantó este viernes que en las próximas horas iniciará un recorrido por distintas regiones del país, incluida Cochabamba, y que posteriormente sostendrá encuentros con organismos internacionales para presentar su propuesta de Gobierno.  Vamos a presentar a diferentes instituciones multilaterales nuestro programa de Gobierno, nosotros no estamos yendo a pedir plata, remarcó el candidato en contacto con los medios, en clara alusión a las gestiones de otros postulantes.  Con ello, Paz tomó distancia de Jorge Tuto Quiroga, quien a inicios de semana reveló que se reunió con el Fondo Monetario Internacional (FMI), el Banco Mundial (BM) y agencias de Estados Unidos en busca de un eventual plan de rescate económico para el país.  El líder del PDC explicó que su propuesta se basa en un capitalismo político orientado a dignificar el futuro de los bolivianos, con énfasis en el fortalecimiento institucional y la generación de oportunidades.  Paz también cuestionó las recientes declaraciones de una diputada chilena, quien descalificó la iniciativa del PDC de legalizar vehículos indocumentados asegurando que los bolivianos tienen poco oxígeno en el cerebro.  El candidato consideró esas expresiones ofensivas y sostuvo que su propuesta busca una solución práctica a un problema de larga data."
Rodrigo Paz,Septiembre,"Luego de conocerse el caso de Sérgio Luiz de Freitas Filho, uno de los cabecillas del Primer Comando Capital (PCC), quien vive en impunidad y rodeado de lujos en la ciudad de Santa Cruz de la Sierra desde hace diez años, el candidato presidencial Rodrigo Paz aseguró que se trata de un acto en el que el Gobierno está involucrado y que su binomio, Edmand Lara, se encargará del manejo de la justicia si su partido gana el balotaje.  En el futuro Gobierno, este binomio hará respetar las leyes y el Estado de Derecho, mencionó.  Además, se refirió a Lara como un especialista dentro del conocimiento sobre el funcionamiento de la seguridad del Estado.  Garantizó que la dupla se encargará de regular la situación criminal en el país y que noticias como esta no sean una sorpresa sino la realidad de la firmeza de un Estado que lucha por aplicar la justicia y la protección de los bolivianos, indicó.  Por otra parte, aseguró que trabajarán en erradicar la impunidad para cualquier persona por medio de procesos transparentes y que garanticen el bienestar de la población."
