corpus,variacion,longitudSecuencia,epocas,temperatura,dropout,perplejidad,ttr,longitudMedia,porcentajeCierre,calidad
corto,base,30,30,0.4,0.2,36.084549510784726,0.6944444444444444,10.285714285714286,100.0,3
corto,dropoutMas,30,30,0.4,0.5,34.91592368710154,0.6486486486486487,10.571428571428571,100.0,2
corto,dropoutMenos,30,30,0.4,0.0,35.07109680535561,0.6923076923076923,11.142857142857142,100.0,5
corto,temperaturaMas,30,30,0.8,0.2,34.191348584887365,0.6056338028169014,10.142857142857142,100.0,1
corto,temperaturaMenos,30,30,0.2,0.2,37.516153303989725,0.647887323943662,10.142857142857142,100.0,3
corto,epocasMas,30,60,0.4,0.2,52.32226607547586,0.6666666666666666,10.714285714285714,100.0,4
corto,epocasMenos,30,15,0.4,0.2,43.191494817798066,0.5064935064935064,11.0,100.0,1
corto,longitudMas,50,30,0.4,0.2,37.48448508854814,0.6716417910447762,9.571428571428571,100.0,4
corto,longitudMenos,15,30,0.4,0.2,35.227547461181345,0.6027397260273972,10.428571428571429,100.0,2
mediano,base,30,30,0.4,0.2,79.74828650350932,0.6190476190476191,12.0,100.0,4
mediano,dropoutMas,30,30,0.4,0.5,64.9354517405237,0.6455696202531646,11.285714285714286,100.0,2
mediano,dropoutMenos,30,30,0.4,0.0,83.71975537119876,0.6944444444444444,10.285714285714286,100.0,5
mediano,temperaturaMas,30,30,0.8,0.2,73.5842083911022,0.6901408450704225,10.142857142857142,100.0,2
mediano,temperaturaMenos,30,30,0.2,0.2,73.54036185366445,0.6710526315789473,10.857142857142858,100.0,4
mediano,epocasMas,30,60,0.4,0.2,142.6380723164534,0.6835443037974683,11.285714285714286,100.0,5
mediano,epocasMenos,30,15,0.4,0.2,68.49735946254913,0.6027397260273972,10.428571428571429,100.0,1
mediano,longitudMas,50,30,0.4,0.2,73.41184933448923,0.5340909090909091,12.571428571428571,100.0,2
mediano,longitudMenos,15,30,0.4,0.2,74.91436728450117,0.5974025974025974,11.0,100.0,2
largo,base,30,30,0.4,0.2,34.02579526685314,0.6265060240963856,11.857142857142858,100.0,2
largo,dropoutMas,30,30,0.4,0.5,29.26171684456109,0.5632183908045977,12.428571428571429,100.0,4
largo,dropoutMenos,30,30,0.4,0.0,40.708372061059166,0.5975609756097561,11.714285714285714,100.0,5
largo,temperaturaMas,30,30,0.8,0.2,32.83578656072344,0.6721311475409836,8.714285714285714,100.0,1
largo,temperaturaMenos,30,30,0.2,0.2,35.5106976702876,0.618421052631579,10.857142857142858,100.0,5
largo,epocasMas,30,60,0.4,0.2,69.65254965157423,0.7272727272727273,11.0,100.0,4
largo,epocasMenos,30,15,0.4,0.2,31.81498273641937,0.6075949367088608,11.285714285714286,100.0,1
largo,longitudMas,50,30,0.4,0.2,35.55465705886029,0.5866666666666667,10.714285714285714,100.0,4
largo,longitudMenos,15,30,0.4,0.2,35.10779833973816,0.6842105263157895,10.857142857142858,100.0,5
muy_largo,base,30,30,0.4,0.2,31.76450483850353,0.5180722891566265,11.857142857142858,100.0,4
muy_largo,dropoutMas,30,30,0.4,0.5,26.455499516551438,0.5822784810126582,11.285714285714286,100.0,4
muy_largo,dropoutMenos,30,30,0.4,0.0,33.658139095173446,0.5647058823529412,12.142857142857142,100.0,4
muy_largo,temperaturaMas,30,30,0.8,0.2,33.94147436258113,0.6538461538461539,11.142857142857142,100.0,4
muy_largo,temperaturaMenos,30,30,0.2,0.2,29.411852052648396,0.5862068965517241,12.428571428571429,100.0,3
muy_largo,epocasMas,30,60,0.4,0.2,69.8674359340675,0.68,10.714285714285714,100.0,3
muy_largo,epocasMenos,30,15,0.4,0.2,24.099667594398472,0.48148148148148145,11.571428571428571,100.0,5
muy_largo,longitudMas,50,30,0.4,0.2,31.12886811753964,0.6046511627906976,12.285714285714286,100.0,5
muy_largo,longitudMenos,15,30,0.4,0.2,31.653999336596538,0.6363636363636364,11.0,100.0,3
